Dividend,EFDM,Crank-Nicolson
0.01,1104.19,1104.33
0.011,1101.26,1101.39
0.012,1098.32,1098.44
0.013,1095.37,1095.49
0.014,1092.41,1092.53
0.015,1089.44,1089.56
0.016,1086.46,1086.58
0.017,1083.48,1083.59
0.018,1080.49,1080.6
0.019,1077.5,1077.6
0.02,1074.49,1074.59
0.021,1071.48,1071.58
0.022,1068.47,1068.56
0.023,1065.44,1065.54
0.024,1062.42,1062.51
0.025,1059.38,1059.47
0.026,1056.34,1056.43
0.027,1053.3,1053.38
0.028,1050.25,1050.33
0.029,1047.2,1047.28
0.03,1044.14,1044.22
0.031,1041.08,1041.15
0.032,1038.01,1038.09
0.033,1034.94,1035.01
0.034,1031.87,1031.94
0.035,1028.79,1028.86
0.036,1025.71,1025.78
0.037,1022.63,1022.7
0.038,1019.54,1019.61
0.039,1016.46,1016.52
0.04,1013.37,1013.43
0.041,1010.28,1010.34
0.042,1007.19,1007.25
0.043,1004.09,1004.15
0.044,1001,1001.06
0.045,997.902,997.961
0.046,994.806,994.864
0.047,991.709,991.766
0.048,988.613,988.669
0.049,985.516,985.571
0.05,982.419,982.473
0.051,979.323,979.376
0.052,976.228,976.28
0.053,973.133,973.184
0.054,970.039,970.09
0.055,966.947,966.997
