COV(ETF & SX5E),AC1,AC2,AC3,AC4
-0.012722,0.1072,0.0442,0.0302,0.694,
-0.011722,0.1068,0.0473,0.0325,0.6907,
-0.010722,0.1073,0.0475,0.0308,0.6879,
-0.009722,0.1105,0.0463,0.0314,0.6882,
-0.008722,0.1148,0.0451,0.0338,0.6726,
-0.007722,0.1086,0.0497,0.0334,0.6821,
-0.006722,0.117,0.0483,0.0315,0.6765,
-0.005722,0.1206,0.0509,0.0314,0.6744,
-0.004722,0.118,0.0519,0.0382,0.6638,
-0.003722,0.1188,0.0523,0.0343,0.6627,
-0.002722,0.1186,0.0508,0.0323,0.67,
-0.001722,0.1216,0.0538,0.034,0.6685,
-0.000722,0.1284,0.0523,0.0327,0.6653,
0.000278,0.1313,0.0552,0.035,0.6507,
0.001278,0.1316,0.0532,0.0362,0.658,
0.002278,0.1282,0.0475,0.0338,0.6671,
0.003278,0.135,0.0529,0.0322,0.6496,
0.004278,0.1363,0.057,0.0337,0.6565,
0.005278,0.1358,0.0546,0.0344,0.6542,
0.006278,0.136,0.0553,0.0371,0.6499,
0.007278,0.1418,0.0548,0.0349,0.6462,
0.008278,0.1469,0.0528,0.0385,0.6453,
0.009278,0.1387,0.0576,0.0358,0.6475,
0.010278,0.1391,0.0596,0.0346,0.6397,
0.011278,0.1456,0.055,0.0379,0.6457,
0.012278,0.1456,0.057,0.0392,0.6364,
