COV(RUSSELL & ETF),AC1,AC2,AC3,AC4
-0.019673,0.0966,0.0484,0.028,0.7004,
-0.018673,0.1022,0.0424,0.0322,0.7029,
-0.017673,0.1023,0.0476,0.0294,0.6954,
-0.016673,0.1001,0.0483,0.0351,0.6872,
-0.015673,0.1032,0.0455,0.0283,0.7012,
-0.014673,0.1067,0.0464,0.0309,0.6839,
-0.013673,0.104,0.0495,0.0337,0.6858,
-0.012673,0.1063,0.0504,0.0318,0.6868,
-0.011673,0.1104,0.0452,0.0344,0.6819,
-0.010673,0.1128,0.0553,0.0333,0.6778,
-0.009673,0.1084,0.0504,0.0304,0.6869,
-0.008673,0.1102,0.0484,0.0327,0.6789,
-0.007673,0.1176,0.0487,0.034,0.6731,
-0.006673,0.1124,0.0518,0.031,0.6805,
-0.005673,0.1101,0.0503,0.0352,0.6814,
-0.004673,0.1156,0.0538,0.0321,0.6697,
-0.003673,0.1261,0.0506,0.0329,0.664,
-0.002673,0.119,0.0509,0.0315,0.6738,
-0.001673,0.1175,0.0539,0.0309,0.6782,
-0.000673,0.1201,0.0504,0.0326,0.6688,
0.000327,0.1247,0.0543,0.034,0.66,
0.001327,0.1275,0.0488,0.0356,0.6645,
0.002327,0.1252,0.0512,0.034,0.6616,
0.003327,0.1254,0.056,0.0319,0.662,
0.004327,0.1294,0.0539,0.0365,0.6521,
0.005327,0.1237,0.0551,0.0326,0.6608,
0.006327,0.1317,0.0529,0.0311,0.6589,
0.007327,0.1305,0.0533,0.0346,0.6533,
0.008327,0.1321,0.0548,0.0395,0.6547,
0.009327,0.135,0.0595,0.0328,0.6461,
0.010327,0.1291,0.0558,0.0361,0.6616,
0.011327,0.1397,0.0551,0.0351,0.6592,
0.012327,0.1315,0.0504,0.0372,0.6573,
0.013327,0.1389,0.0561,0.0364,0.6407,
0.014327,0.1416,0.0543,0.0351,0.6494,
0.015327,0.1384,0.0564,0.0373,0.6505,
0.016327,0.1438,0.0552,0.0346,0.6486,
0.017327,0.1468,0.051,0.0386,0.6363,
0.018327,0.1455,0.0565,0.0397,0.6393,
