CORR(SX5E & FOREX),AC1,AC2,AC3,AC4
-1,0.1371,0.0541,0.0361,0.6503,
-0.95,0.1464,0.0598,0.0363,0.6345,
-0.9,0.1446,0.0549,0.0391,0.6348,
-0.85,0.1423,0.0545,0.0367,0.654,
-0.8,0.1404,0.0543,0.0367,0.6466,
-0.75,0.1374,0.0564,0.0378,0.6487,
-0.7,0.138,0.0559,0.0361,0.6463,
-0.65,0.1406,0.0586,0.0371,0.6497,
-0.6,0.1354,0.0575,0.0346,0.6464,
-0.55,0.1398,0.0548,0.0351,0.6492,
-0.5,0.1357,0.0604,0.0356,0.6413,
-0.45,0.1391,0.0541,0.0378,0.6481,
-0.4,0.1425,0.0528,0.0362,0.6466,
-0.35,0.1415,0.0562,0.0378,0.6452,
-0.3,0.1368,0.0525,0.0356,0.6514,
-0.25,0.1338,0.0519,0.0351,0.6569,
-0.2,0.1357,0.0563,0.0344,0.6517,
-0.15,0.1399,0.0576,0.0365,0.6444,
-0.1,0.1368,0.0536,0.0372,0.6474,
-0.05,0.1395,0.0525,0.0329,0.6486,
0,0.1409,0.0571,0.0371,0.643,
0.05,0.1384,0.056,0.0371,0.6473,
0.1,0.1392,0.057,0.035,0.6417,
0.15,0.1418,0.054,0.0354,0.6405,
0.2,0.1358,0.0582,0.034,0.6479,
0.25,0.1361,0.0576,0.0319,0.6511,
0.3,0.1336,0.053,0.0325,0.6569,
0.35,0.1347,0.0583,0.0358,0.6455,
0.4,0.1322,0.0555,0.0373,0.6521,
0.45,0.135,0.0561,0.034,0.6472,
0.5,0.1393,0.054,0.0348,0.6493,
0.55,0.133,0.0562,0.0343,0.6456,
0.6,0.1306,0.0537,0.0338,0.6567,
0.65,0.1341,0.0537,0.0364,0.644,
0.7,0.1368,0.0574,0.0349,0.6437,
0.75,0.1452,0.0514,0.0321,0.643,
0.8,0.1375,0.0535,0.0335,0.6488,
0.85,0.136,0.0528,0.0322,0.6552,
0.9,0.1316,0.0508,0.0335,0.6564,
0.95,0.1369,0.0522,0.0355,0.6493,
1,0.1338,0.0507,0.0329,0.6555,
