DIV(RUSSELL),AC1,AC2,AC3,AC4
0.006395,0.1375,0.0546,0.0374,0.6498,
0.007395,0.1365,0.0552,0.0391,0.6482,
0.008395,0.1412,0.058,0.0306,0.6512,
0.009395,0.1384,0.0544,0.0339,0.6498,
0.010395,0.1375,0.0632,0.0343,0.6418,
0.011395,0.1363,0.0561,0.0355,0.6424,
0.012395,0.1396,0.055,0.0348,0.6495,
0.013395,0.1395,0.0558,0.035,0.6453,
0.014395,0.1332,0.0501,0.0367,0.6531,
0.015395,0.1344,0.0558,0.036,0.6572,
0.016395,0.1367,0.0526,0.0356,0.6519,
0.017395,0.1393,0.0606,0.0366,0.6412,
0.018395,0.1352,0.0588,0.0351,0.6486,
0.019395,0.1356,0.0514,0.0322,0.6582,
0.020395,0.1323,0.0558,0.0312,0.661,
