VOL(ETF),AC1,AC2,AC3,AC4
0.2329,0.1438,0.0572,0.0374,0.6475,
0.2429,0.1444,0.06,0.0369,0.642,
0.2529,0.1401,0.0559,0.0353,0.6476,
0.2629,0.1435,0.0527,0.0349,0.6443,
0.2729,0.1347,0.0553,0.038,0.6489,
0.2829,0.1418,0.0545,0.0378,0.6491,
0.2929,0.1354,0.0573,0.0343,0.6479,
0.3029,0.1415,0.0537,0.0353,0.6409,
0.3129,0.1366,0.0529,0.0344,0.6446,
0.3229,0.138,0.0546,0.0376,0.6411,
0.3329,0.1341,0.0508,0.0347,0.6486,
0.3429,0.1312,0.0548,0.0338,0.6419,
0.3529,0.1339,0.0567,0.0334,0.6405,
0.3629,0.1278,0.0516,0.0333,0.6466,
0.3729,0.1339,0.0514,0.0332,0.6446,
0.3829,0.1366,0.0537,0.0325,0.639,
0.3929,0.1388,0.0507,0.0362,0.6332,
0.4029,0.1267,0.0528,0.0324,0.6392,
0.4129,0.1293,0.05,0.0304,0.6338,
0.4229,0.1298,0.0489,0.0303,0.635,
0.4329,0.1209,0.0468,0.0328,0.6391,
0.4429,0.1321,0.052,0.0283,0.6258,
0.4529,0.1216,0.0526,0.0277,0.6368,
0.4629,0.1288,0.0446,0.0275,0.6288,
0.4729,0.122,0.0508,0.0296,0.6242,
0.4829,0.1176,0.0489,0.0304,0.6256,
0.4929,0.1174,0.0505,0.0283,0.6212,
0.5029,0.1198,0.045,0.0294,0.616,
0.5129,0.1158,0.0484,0.0274,0.6138,
0.5229,0.1253,0.0411,0.0304,0.6118,
0.5329,0.117,0.0416,0.025,0.6166,
0.5429,0.1165,0.0405,0.0285,0.6078,
0.5529,0.1129,0.0462,0.0245,0.607,
0.5629,0.1135,0.0423,0.0262,0.6096,
0.5729,0.1094,0.0402,0.0253,0.6017,
0.5829,0.1136,0.0419,0.0278,0.6,
0.5929,0.1047,0.0391,0.027,0.5961,
0.6029,0.1066,0.0436,0.0243,0.5895,
0.6129,0.1038,0.039,0.022,0.5815,
0.6229,0.0966,0.0416,0.0243,0.5925,
